success,country_code,country_name,eu,standard_rate,other_rate_1,other_rate_2,other_rate_3,other_rate_4,other_rate_5,other_rate_6,other_rate_7,other_rate_8,other_rate_9,other_rate_10,other_rate_11,other_rate_12,other_rate_13,other_rate_14,other_rate_15,other_rate_16,other_rate_17,other_rate_18,other_rate_19,other_rate_20,other_rate_21,other_rate_22,other_rate_23,other_rate_24,other_rate_25,other_rate_26,other_rate_27,other_rate_28,other_rate_29,multiple_other_rates
True,AF,Afghanistan,False,-1.0696191091808434,-0.9524226857809516,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AL,Albania,False,0.8282146544473399,-0.3604973360934379,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,DZ,Algeria,False,0.6384312780845214,0.8233533632815897,1.2522118563237754,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AD,Andorra,False,-2.113427679176344,0.1574373448831366,-1.0834595940353298,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AO,Angola,False,-0.31048560372956996,0.08344667617219732,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AR,Argentina,False,1.0179980308101577,2.7471107497660094,1.6901502532661077,0.84880887871231,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AW,Aruba,False,-1.6389692382692982,-1.2483853606247084,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AU,Australia,False,-1.0696191091808434,0.08344667617219732,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AT,Austria,True,0.8282146544473399,0.6753720258597111,1.5441707876186639,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
True,AZ,Azerbaijan,False,0.4486479017217029,-1.2483853606247084,0.08437613114422299,-0.3333761891321329,-0.1528364018135795,-0.09007823826595186,-1.1544797490321874e-15,-1.1544797490321874e-15,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,1.0408340855860843e-17,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
